"Maximum Quantity of Items per Product in Cart","Maximum Quantity of Items per Product in Cart"
"Maximum Number of Unique Products Allowed in Cart","Maximum Number of Unique Products Allowed in Cart"
"Maximum Quantity Allowed in Cart (total)","Maximum Quantity Allowed in Cart (total)"
"You can not add any more items to you cart. Max of %d has been reached","You can not add any more items to you cart. Max of %d has been reached"
"You can not add any more products of this type to your cart. Max of %d has been reached","You can not add any more products of this type to your cart. Max of %d has been reached"
"You can not add any more products to your cart. Maximum quantity of unique products equals to %d",""You can not add any more products to your cart. Maximum quantity of unique products equals to %d"
"0 to disable","0 to disable"
